model,warmup,init,inference
mobile,36.1023,1406,34.8217
mobile,35.6087,1199,35.0107
mobile,36.5127,2299,35.3444
mobile,37.2153,1209,35.1353
mobile,37.2647,2404,35.218
mobile,35.7037,1158,35.6377
mobile,36.6618,2343,34.8645
mobile,40.5136,2166,35.8803
mobile,36.0531,1203,34.8224
mobile,35.3157,1194,35.228
neumf,50.9972,1279,49.642
neumf,50.6332,2210,49.6081
neumf,50.6755,2560,49.6755
neumf,53.5955,2495,49.2541
neumf,50.8022,2503,49.6556
neumf,52.7188,2594,49.4934
neumf,53.0959,1485,49.6773
neumf,51.1297,1304,49.4673
neumf,53.8953,2183,49.2263
neumf,50.0728,1325,49.6978
ecam neumf,58.1989,2611,55.7231
ecam neumf,56.7114,1329,56.2381
ecam neumf,56.9482,1315,56.2393
ecam neumf,60.8468,2227,56.2116
ecam neumf,56.8128,1229,56.1996
ecam neumf,57.8939,1381,56.077
ecam neumf,58.533,2317,56.1345
ecam neumf,58.344,2248,56.1303
ecam neumf,58.4375,1258,55.9212
ecam neumf,61.6384,1239,56.0869
